Industry,Rate
"Agriculture, forestry and fishing",8.7
Mining,4.8
Manufacturing,3.9
"Electricity, gas, water and waste services",3.3
Construction,5.2
Wholesale trade,4.0
Retail trade,5.8
Accommodation and food services,7.4
"Transport, postal and warehousing",4.8
Information media and telecommunications,4.5
Financial and insurance services,3.8
"Rental, hiring and real estate services",5.3
"Professional, scientific and technical services",4.7
Administrative and support services,8.9
Public administration and safety,5.1
Education and training,6.9
Health care and social assistance,7.3
Arts and recreation services,8.2
Other services,5.2
