Region,Rate,Year
Greater Sydney,5.5,2025
Rest of NSW,7.1,2025
Greater Melbourne,6.9,2025
Rest of Vic.,5.9,2025
Greater Brisbane,5.9,2025
Rest of Qld,5.5,2025
Greater Adelaide,5.8,2025
Rest of SA,7.5,2025
Greater Perth,5.9,2025
Rest of WA,6.8,2025
Greater Hobart,10.3,2025
Rest of Tas.,8.9,2025
Greater Darwin,7.6,2025
Rest of NT,7.8,2025
Australian Capital Territory,7,2025
Greater Sydney,5.8,2023
Rest of NSW,8,2023
Greater Melbourne,6.8,2023
Rest of Vic.,8.3,2023
Greater Brisbane,6,2023
Rest of Qld,5.4,2023
Greater Adelaide,6.9,2023
Rest of SA,7.7,2023
Greater Perth,6.6,2023
Rest of WA,5.8,2023
Greater Hobart,8.7,2023
Rest of Tas.,8.2,2023
Greater Darwin,6.7,2023
Rest of NT,11,2023
Australian Capital Territory,7.4,2023
Greater Sydney,5.3,2024
Rest of NSW,8.5,2024
Greater Melbourne,6.7,2024
Rest of Vic.,7.6,2024
Greater Brisbane,5.9,2024
Rest of Qld,6.2,2024
Greater Adelaide,7.3,2024
Rest of SA,6.7,2024
Greater Perth,5.4,2024
Rest of WA,5.1,2024
Greater Hobart,8.1,2024
Rest of Tas.,9,2024
Greater Darwin,6.3,2024
Rest of NT,6.2,2024
Australian Capital Territory,7.7,2024
